,Ingredients,Amount,Measure,Item
2402,"1/3 cup pumpkin seeds (pepitas), plus more for sprinkling",0.333333 cup,cup,pumpkin seeds ( pepitas )
2403,"1 large bunch basil (4 ounces), leaves and tender stems picked (3 cups)",1 ,unit,large bunch basil ( 4 ounces )
2404,"2/3 cup/2½ ounces finely grated Parmesan, plus more for sprinkling",0.666667 oz,ounce,finely grated Parmesan
2405,1/2 cup extra-virgin olive oil,0.5 cup,cup,extra virgin olive oil
2406,"1 1/2 cups grape or cherry tomatoes, halved (optional)",1.5 cup,cup,grape or cherry tomatoes
2407,"3 1/2 pounds bone-in, skin-on chicken thighs, patted dry",3.5 lb,pound,bone in
2408,Salt,,, Salt
2409,freshly ground black pepper,,, freshly ground black pepper
2410,Paprika,,, Paprika
2411,3 tablespoons unsalted butter,3 tbsp.,tablespoon,unsalted butter
2412,"1 1/2 pounds dried pasta, preferably bucatini or linguine",1.5 lb,pound,dried pasta
2413,2 teaspoons crumbled dried rosemary,2 tsp.,teaspoon,crumbled dried rosemary
2414,1/2 cup dried currants or raisins,0.5 cup,cup,dried currants or raisins
2415,"2/3 cup pine nuts, toasted",0.666667 cup,cup,pine nuts
2416,3 tablespoons chopped parsley,3 tbsp.,tablespoon,chopped parsley
2417,"1 1/2 pounds broccoli, cut into bite-size florets, stems cut into 1/2-inch slices",1.5 lb,pound,broccoli
2418,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
2419,Kosher salt and black pepper,,, Kosher salt and black pepper
2420,"1 pound shaped pasta, such as campanelle or fusilli",1 lb,pound,shaped pasta
2421,1/2 cup chopped almonds,0.5 cup,cup,chopped almonds
2422,8 tablespoons unsalted butter (1 stick),8 tbsp.,tablespoon,unsalted butter ( 1 stick )
2423,"6 to 8 anchovy fillets, roughly chopped",6 ,unit,to 8 anchovy fillets
2424,"2 garlic cloves, chopped",,, 2 garlic cloves
2425,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
2426,1/3 cup fresh lemon juice,0.333333 cup,cup,fresh lemon juice
2427,"Grated pecorino, for serving (optional)",,, Grated pecorino
2428,Salt,,, Salt
2429,"12 ounces long, thin pasta, such as bucatini, spaghetti or linguine",12 oz,ounce,long
2430,3 tablespoons extra-virgin olive oil,3 tbsp.,tablespoon,extra virgin olive oil
2431,"3 garlic cloves, thinly sliced",,, 3 garlic cloves
2432,"3 scallions, thinly sliced, white and green parts separated",3 ,unit,scallions
2433,"6 to 10 anchovies, chopped",6 ,unit,to 10 anchovies
2434,3 tablespoons drained capers,3 tbsp.,tablespoon,drained capers
2435,"1 cup torn fresh herbs, such as parsley and dill, or celery leaves, plus more for serving (optional)",1 cup,cup,torn fresh herbs
2436,"1 (5- or 6-ounce) can tuna, drained",,,5.0 6 ounce ) can tuna
2437,"Red-pepper flakes, for serving",,, Red pepper flakes
2438,"Lemon wedges, for serving",,, Lemon wedges
2439,1 3/4 cups/225 grams all-purpose flour,1.75 ,unit,cups/225 grams all purpose flour
2440,3/4 teaspoon baking soda,0.75 tsp.,teaspoon,baking soda
2441,1/2 teaspoon baking powder,0.5 tsp.,teaspoon,baking powder
2442,"1/2 cup/115 grams unsalted butter (1 stick), at room temperature",0.5 stick,stick,)
2443,1 cup/220 grams light brown sugar,1 ,unit,cup/220 grams light brown sugar
2444,1/2 cup/100 grams granulated sugar,0.5 ,unit,cup/100 grams granulated sugar
2445,1/3 cup/80 milliliters white miso paste,0.333333 ,unit,cup/80 milliliters white miso paste
2446,1/4 cup/60 milliliters chunky peanut butter,0.25 ,unit,cup/60 milliliters chunky peanut butter
2447,1 large egg,1 ,unit,large egg
2448,1 1/2 teaspoons vanilla extract,1.5 tsp.,teaspoon,vanilla extract
2449,"1/2 cup/105 grams Demerara sugar, plus more as needed",0.5 ,unit,cup/105 grams Demerara sugar
2450,Salt,,, Salt
2451,3 tablespoons extra-virgin olive oil,3 tbsp.,tablespoon,extra virgin olive oil
2452,"1 shallot, minced",1 ,unit,shallot
2453,"2 garlic cloves, thinly sliced",,, 2 garlic cloves
2454,1 teaspoon red-pepper flakes,1 tsp.,teaspoon,red pepper flakes
2455,"8 ounces sliced deli ham, cut into little squares",8 oz,ounce,sliced deli ham
2456,1 (28-ounce) can tomato passata (purée),28 oz,ounce,can tomato passata ( purée )
2457,1 pound penne,1 lb,pound,penne
2458,3/4 cup heavy cream,0.75 cup,cup,heavy cream
2459,"1/2 cup grated Parmigiano-Reggiano, plus more for garnish",0.5 cup,cup,grated Parmigiano Reggiano
2460,Salt,,, Salt
2461,1 pound medium pasta shells or orecchiette,1 lb,pound,medium pasta shells or orecchiette
2462,"1 tablespoon extra-virgin olive oil, plus more as needed",1 tbsp.,tablespoon,extra virgin olive oil
2463,"6 ounces pepperoni, thinly sliced, then coarsely chopped (about 2 cups)",6 oz,ounce,pepperoni
2464,"3 garlic cloves, thinly sliced",,, 3 garlic cloves
2465,"1 teaspoon fennel seeds, cracked with a mortar and pestle or the side of a chef’s knife",1 tsp.,teaspoon,fennel seeds
2466,Pinch of red-pepper flakes (optional),,, Pinch of red pepper flakes (optional)
2467,1 tablespoon tomato paste,1 tbsp.,tablespoon,tomato paste
2468,"1 small lemon, zested (if your lemon is very large, just zest half of it)",1 ,unit,small lemon
2469,"3/4 cup torn fresh basil or parsley leaves and tender stems, plus more for garnish",0.75 cup,cup,torn fresh basil or parsley leaves and tender stems
2470,"Grated Parmesan, for serving (optional)",,, Grated Parmesan
2471,1/3 cup/75 milliliters olive oil,0.333333 ,unit,cup/75 milliliters olive oil
2472,"6 garlic cloves, peeled and thinly sliced",,, 6 garlic cloves
2473,"1 medium green serrano chile, stemmed and halved lengthwise",1 ,unit,medium green serrano chile
2474,"1 tablespoon fresh thyme leaves, chopped",1 tbsp.,tablespoon,fresh thyme leaves
2475,"2 (15.5-ounce/400-gram) cans cannellini beans, drained and rinsed",,, 2 (15.5 ounce/400 gram) cans cannellini beans
2476,"3 cups (about 9 ounces/250 grams) short, twirled pasta, preferably gemelli or trofie pasta",3 cup,cup,( about 9 ounces/250 grams ) short
2477,3 cups/700 milliliters chicken or vegetable stock,3 ,unit,cups/700 milliliters chicken or vegetable stock
2478,Kosher salt and black pepper,,, Kosher salt and black pepper
2479,1/4 cup/60 milliliters lemon juice (from 2 lemons),0.25 ,unit,cup/60 milliliters lemon juice ( from 2 lemons )
2480,"1 block halloumi (around 7 ounces/200 grams), very finely grated",1 ,unit,block halloumi ( around 7 ounces/200 grams )
2481,"Heaping 1/3 cup/50 grams pine nuts, well toasted",,, Heaping 1/3 cup/50 grams pine nuts
2482,"2 small garlic cloves, roughly chopped",2 ,unit,small garlic cloves
2483,"3 lightly packed cups (about 2 ounces/60 grams) arugula (rocket), roughly chopped",3 cup,cup,( about 2 ounces/60 grams ) arugula ( rocket )
2484,1/2 cup/20 grams roughly chopped parsley (leaves and tender stems only),0.5 ,unit,cup/20 grams roughly chopped parsley ( leaves and tender stems only )
2485,"1/3 cup/90 milliliters olive oil, plus more as needed",0.333333 ,unit,cup/90 milliliters olive oil
2486,Kosher salt and black pepper,,, Kosher salt and black pepper
2487,"10 tablespoons unsalted butter, plus more for dish",10 tbsp.,tablespoon,unsalted butter
2488,Kosher salt and freshly ground black pepper,,, Kosher salt and freshly ground black pepper
2489,1 pound macaroni elbows,1 lb,pound,macaroni elbows
2490,1/2 cup panko bread crumbs,0.5 cup,cup,panko bread crumbs
2491,"1 small yellow onion, diced",1 ,unit,small yellow onion
2492,"2 garlic cloves, minced",,, 2 garlic cloves
2493,"1 jalapeño, minced (seeded if desired for mild heat)",1 ,unit,jalapeño
2494,1/2 cup all-purpose flour,0.5 cup,cup,all purpose flour
2495,1 teaspoon paprika,1 tsp.,teaspoon,paprika
2496,4 cups whole milk,4 cup,cup,whole milk
2497,"12 ounces sharp yellow Cheddar cheese, grated (3 cups)",12 oz,ounce,sharp yellow Cheddar cheese
2498,"4 ounces cream cheese, softened",4 oz,ounce,cream cheese
2499,"2 (2-ounce) jars sliced pimentos, drained (1/2 cup)",,, 2 (2 ounce) jars sliced pimentos
2500,"4 tablespoons unsalted butter, plus more for greasing the pan",4 tbsp.,tablespoon,unsalted butter
2501,1 tablespoon plus 1/2 teaspoon kosher salt,1 tbsp.,tablespoon,plus 1/2 teaspoon kosher salt
2502,2 cups polenta (not instant),2 cup,cup,polenta ( not instant )
2503,5 ounces baby spinach (about 5 cups),5 oz,ounce,baby spinach ( about 5 cups )
2504,2 cups grated Parmesan,2 cup,cup,grated Parmesan
2505,"1 pound whole-milk ricotta (about 1 2/3 cups), preferably fresh",1 lb,pound,whole milk ricotta ( about 1 2/3 cups )
2506,3 tablespoons finely chopped parsley,3 tbsp.,tablespoon,finely chopped parsley
2507,2 tablespoons finely chopped fresh basil (or use more parsley),2 tbsp.,tablespoon,finely chopped fresh basil ( or use more parsley )
2508,1 large egg,1 ,unit,large egg
2509,1/2 teaspoon black pepper,0.5 tsp.,teaspoon,black pepper
2510,1/8 teaspoon grated fresh nutmeg,0.125 tsp.,teaspoon,grated fresh nutmeg
2511,1 (25-ounce) jar good-quality marinara sauce (3 cups),25 oz,ounce,jar good quality marinara sauce ( 3 cups )
2512,"Large pinch of red-pepper flakes, 1 pinch of dried oregano, 1 grated garlic clove or a drizzle of good extra-virgin olive oil, or a combination (optional)",,, Large pinch of red pepper flakes
2513,1 pound shredded mozzarella (about 4 cups),1 lb,pound,shredded mozzarella ( about 4 cups )
2514,"About 2 pounds baking potatoes, like Idaho or russet, peeled",,, About 2 pounds baking potatoes
2515,"1 medium onion, peeled",1 ,unit,medium onion
2516,2 eggs,2 ,unit,eggs
2517,Salt and freshly ground black pepper to taste,,, Salt and freshly ground black pepper to taste
2518,2 tablespoons plain bread crumbs or matzo meal,2 tbsp.,tablespoon,plain bread crumbs or matzo meal
2519,"Neutral oil, like corn or grape seed.",,, Neutral oil
2520,"1/4 cup extra-virgin olive oil, plus more for drizzling",0.25 cup,cup,extra virgin olive oil
2521,"1 medium onion, thinly sliced",1 ,unit,medium onion
2522,"2 garlic cloves, peeled and smashed",,, 2 garlic cloves
2523,Fine sea salt and black pepper,,, Fine sea salt and black pepper
2524,1 pound ground beef,1 lb,pound,ground beef
2525,2 heaping tablespoons sambal oelek (or any spicy red-pepper paste),2 tbsp.,tablespoon,sambal oelek ( or any spicy red pepper paste )
2526,"1/4 cup full-bodied red wine, like cabernet or merlot",0.25 cup,cup,full bodied red wine
2527,"1 (28-ounce) can whole peeled tomatoes, with their juices",28 oz,ounce,can whole peeled tomatoes
2528,"8 ounces plain or whole-wheat lasagna noodles (not no-cook), broken in 1- to 2-inch pieces",8 oz,ounce,plain or whole wheat lasagna noodles ( not no cook )
2529,1 teaspoon fennel seeds,1 tsp.,teaspoon,fennel seeds
2530,1 cup fresh ricotta,1 cup,cup,fresh ricotta
2531,"1 lemon, zested",1 ,unit,lemon
2532,"Flaky salt, like Maldon",,, Flaky salt
2533,"Salt, as needed",,, Salt
2534,2/3 cup brown rice,0.666667 cup,cup,brown rice
2535,"2/3 cup uncooked red or white quinoa, well rinsed",0.666667 cup,cup,uncooked red or white quinoa
2536,2 tablespoons soy sauce,2 tbsp.,tablespoon,soy sauce
2537,4 teaspoons finely chopped peeled ginger,4 tsp.,teaspoon,finely chopped peeled ginger
2538,1 tablespoon rice wine vinegar,1 tbsp.,tablespoon,rice wine vinegar
2539,1/4 cup peanut oil,0.25 cup,cup,peanut oil
2540,1 teaspoon sesame oil,1 tsp.,teaspoon,sesame oil
2541,"1 8-ounce bunch kale, thick ribs removed, leaves torn into large pieces",9 oz,ounce,bunch kale
2542,4 large eggs,4 ,unit,large eggs
2543,"1 avocado, peeled, pitted and sliced",1 ,unit,avocado
2544,"1 cup coarsely chopped kimchi, or to taste",1 cup,cup,coarsely chopped kimchi
2545,"Sliced scallions, for serving",,, Sliced scallions
2546,"Sesame seeds, for serving",,, Sesame seeds
2547,"Crumbled dried seaweed snack sheets, for serving",,, Crumbled dried seaweed snack sheets
2548,2 tablespoons red-pepper flakes (see Tip),2 tbsp.,tablespoon,red pepper flakes ( see Tip )
2549,1 1/2 teaspoons kosher salt,1.5 tsp.,teaspoon,kosher salt
2550,"1/2 cup neutral oil, such as grapeseed, vegetable or canola",0.5 cup,cup,neutral oil
2551,"1 (1-inch) piece ginger, peeled and finely chopped",,, 1 (1 inch) piece ginger
2552,"2 garlic cloves, finely chopped",,, 2 garlic cloves
2553,2 teaspoons toasted white sesame seeds,2 tsp.,teaspoon,toasted white sesame seeds
2554,1 teaspoon sesame oil,1 tsp.,teaspoon,sesame oil
2555,Kosher salt,,, Kosher salt
2556,"4 (3-ounce) packages ramen noodles, seasoning packs discarded",12 oz,ounce,packages ramen noodles
2557,"2 bunches scallions (10 to 12 scallions), white and green parts separated and cut into 2-inch pieces",2 ,unit,bunches scallions ( 10 to 12 scallions )
2558,"2 to 3 tablespoons neutral oil, such as grapeseed, vegetable or canola",2 tbsp.,tablespoon,neutral oil
2559,"10 ounces green beans, trimmed and halved diagonally",10 oz,ounce,green beans
2560,"1 (2-inch) piece ginger, peeled and julienned",,, 1 (2 inch) piece ginger
2561,White pepper,,, White pepper
2562,1 tablespoon toasted white sesame seeds,1 tbsp.,tablespoon,toasted white sesame seeds
2563,"1 pound (2 1/4 cups) red beans, washed, picked over and soaked for 6 hours or overnight in 2 quarts water",1 lb,pound,( 2 1/4 cups ) red beans
2564,2 tablespoons extra virgin olive oil,2 tbsp.,tablespoon,extra virgin olive oil
2565,"1 medium or large onion, chopped",1 ,unit,medium or large onion
2566,"6 garlic cloves, minced",,, 6 garlic cloves
2567,"2 carrots, peeled and chopped",2 ,unit,carrots
2568,"1 large or 2 small green bell peppers, cut in small dice",1 ,unit,large or 2 small green bell peppers
2569,2 tablespoons sweet Hungarian paprika,2 tbsp.,tablespoon,sweet Hungarian paprika
2570,2 tablespoons tomato paste,2 tbsp.,tablespoon,tomato paste
2571,1 bay leaf,1 ,unit,bay leaf
2572,Salt,,, Salt
2573,1 teaspoon oregano,1 tsp.,teaspoon,oregano
2574,Pinch of cayenne,,, Pinch of cayenne
2575,2 tablespoons red wine vinegar,2 tbsp.,tablespoon,red wine vinegar
2576,1/2 teaspoon sugar,0.5 tsp.,teaspoon,sugar
2577,Freshly ground pepper,,, Freshly ground pepper
2578,"1/2 cup minced fresh parsley, or a combination of parsley and dill",0.5 cup,cup,minced fresh parsley
2579,1/2 cup drained yogurt for topping,0.5 cup,cup,drained yogurt for topping
2580,Kosher salt,,, Kosher salt
2581,"2 pounds rice cake sticks or sliced rice cakes, fresh or frozen",2 lb,pound,rice cake sticks or sliced rice cakes
2582,2 tablespoons neutral oil such as vegetable or grapeseed,2 tbsp.,tablespoon,neutral oil such as vegetable or grapeseed
2583,1 tablespoon soy sauce,1 tbsp.,tablespoon,soy sauce
2584,"1/2 pound yu choy or other Asian greens, halved lengthwise",0.5 lb,pound,yu choy or other Asian greens
2585,"2 tablespoons hoisin sauce, diluted with 1 teaspoon water",2 tbsp.,tablespoon,hoisin sauce
2586,"2 scallions, finely sliced",2 ,unit,scallions
2587,1 tablespoon toasted white sesame seeds,1 tbsp.,tablespoon,toasted white sesame seeds
2588,1/3 cup smooth peanut butter (natural or emulsified),0.333333 cup,cup,smooth peanut butter ( natural or emulsified )
2589,3 tablespoons hot water,3 tbsp.,tablespoon,hot water
2590,1/2 tablespoon granulated sugar,0.5 tbsp.,tablespoon,granulated sugar
2591,"1 garlic clove, grated",,, 1 garlic clove
2592,1 teaspoon soy sauce,1 tsp.,teaspoon,soy sauce
2593,Kosher salt and black pepper,,, Kosher salt and black pepper
2594,12 ounces thick dried rice noodles,12 oz,ounce,thick dried rice noodles
2595,"3 tablespoons neutral oil, such as grapeseed or canola",3 tbsp.,tablespoon,neutral oil
2596,2 tablespoons soy sauce,2 tbsp.,tablespoon,soy sauce
2597,1 tablespoon dark soy sauce (see Tip),1 tbsp.,tablespoon,dark soy sauce ( see Tip )
2598,2 cups vegetable stock,2 cup,cup,vegetable stock
2599,1 teaspoon granulated sugar,1 tsp.,teaspoon,granulated sugar
2600,1 tablespoon cornstarch,1 tbsp.,tablespoon,cornstarch
2601,"2 garlic cloves, finely chopped",,, 2 garlic cloves
2602,"1 (1-inch) piece of ginger, peeled and finely chopped",,, 1 (1 inch) piece of ginger
2603,"1 carrot, peeled and thinly sliced diagonally",1 ,unit,carrot
2604,"4 heads baby bok choy (about 12 ounces), trimmed and sliced lengthwise into 4 pieces",4 head,head,baby bok choy ( about 12 ounces )
2605,2 tablespoons vegetarian stir-fry sauce or oyster sauce,2 tbsp.,tablespoon,vegetarian stir fry sauce or oyster sauce
2606,"2 eggs, beaten",2 ,unit,eggs
2607,Handful of cilantro leaves (optional),,, Handful of cilantro leaves (optional)
2608,1 pound rigatoni or other large pasta shape,1 lb,pound,rigatoni or other large pasta shape
2609,"1 medium cauliflower, about 1 1/2 pounds",1 ,unit,medium cauliflower
2610,Extra-virgin olive oil,,, Extra virgin olive oil
2611,Salt and pepper,,, Salt and pepper
2612,"1 tablespoon capers, roughly chopped",1 tbsp.,tablespoon,capers
2613,"3 garlic cloves, minced",,, 3 garlic cloves
2614,"1/4 teaspoon crushed red pepper flakes, or more to taste",0.25 tsp.,teaspoon,crushed red pepper flakes
2615,"3 tablespoons roughly chopped sage, plus a few sage leaves left whole",3 tbsp.,tablespoon,roughly chopped sage
2616,1/2 teaspoon lemon zest,0.5 tsp.,teaspoon,lemon zest
2617,6 ounces coarsely grated fontina or mozzarella,6 oz,ounce,coarsely grated fontina or mozzarella
2618,2 ounces finely grated Romano cheese or other hard pecorino,2 oz,ounce,finely grated Romano cheese or other hard pecorino
2619,1/2 cup coarse dry bread crumbs,0.5 cup,cup,coarse dry bread crumbs
2620,"2 tablespoons chopped flat-leaf parsley, for garnish",2 tbsp.,tablespoon,chopped flat leaf parsley
2621,"1 whole chicken, 3 to 4 pounds, trimmed of excess fat",1 ,unit,whole chicken
2622,3 tablespoons extra-virgin olive oil,3 tbsp.,tablespoon,extra virgin olive oil
2623,Salt and freshly ground black pepper,,, Salt and freshly ground black pepper
2624,1 pint brussels sprouts (about a pound),1 pt.,pint,brussels sprouts ( about a pound )
2625,"4 to 6 tablespoons extra virgin olive oil, to coat bottom of pan",4 tbsp.,tablespoon,extra virgin olive oil
2626,"5 cloves garlic, peeled",5 clove,clove,garlic
2627,Salt and pepper to taste,,, Salt and pepper to taste
2628,1 tablespoon balsamic vinegar,1 tbsp.,tablespoon,balsamic vinegar
2629,"4 chicken legs or 8 bone-in, skin-on chicken thighs",4 ,unit,chicken legs or 8 bone in
2630,2 teaspoons kosher salt,2 tsp.,teaspoon,kosher salt
2631,1 teaspoon freshly ground black pepper,1 tsp.,teaspoon,freshly ground black pepper
2632,1/2 to 3/4 cup all-purpose flour,0.5 cup,cup,all purpose flour
